dia,mes,ano
5,12,2017
2,12,2019
13,08,2018
14,11,2018
13,10,2017
8,12,2017
13,07,2017
13,07,2018
14,04,2017
13,09,2018
13,06,2017
14,06,2018
13,09,2017
12,12,2016
13,09,2016
10,12,2018
13,04,2018
13,02,2017
14,11,2016
1,12,2017
11,10,2018
8,11,2017
4,11,2019
3,12,2017
13,12,2016
7,12,2018
13,06,2018
13,06,2019
13,02,2019
13,07,2019
13,06,2017
14,03,2019
10,12,2018
5,12,2019
13,10,2016
24,04,2017
14,04,2018
13,09,2016
3,12,2018
7,12,2017
13,05,2018
20,12,2017
21,12,2018
19,08,2017
19,09,2018
18,07,2019
18,01,2017
18,07,2017
18,09,2016
18,03,2019
19,09,2017
12,12,2016
17,10,2016
19,05,2017
17,10,2018
17,11,2018
19,07,2018
17,08,2018
19,04,2017
19,11,2016
18,06,2019
4,5,2017
7,4,2019
10,4,2016
4,5,2018
3,5,2018
3,3,2019
12,5,2017
11,4,2016
10,5,2018
3,3,2017
10,4,2017
7,3,2018
8,5,2018
9,5,2016
1,5,2019
9,4,2018
2,6,2019
2,5,2017
11,4,2017
13,07,2017
14,08,2018
2,12,2018
13,02,2017
8,12,2017
7,12,2019
13,09,2017
14,10,2017
13,05,2017
13,05,2019
1,12,2017
11,12,2017
3,12,2017
11,11,2016
6,10,2017
12,10,2017
2,12,2019
12,10,2016
4,11,2017
4,12,2019
6,11,2019
10,10,2016
22,10,2018
22,05,2017
22,12,2017
23,06,2018
22,10,2016
22,08,2017
23,01,2018
23,11,2016
23,06,2019
21,05,2018
22,04,2017
21,02,2017
22,06,2017
21,11,2017
23,03,2017
21,07,2017
23,09,2018
21,05,2019
22,04,2019
5,5,2018
9,6,2016
4,5,2017
10,6,2017
3,5,2019
12,5,2017
6,5,2019
7,5,2017
2,5,2017
3,7,2018
1,7,2018
12,7,2016
10,5,2016
3,7,2017
11,7,2018
4,7,2018
1,7,2017
11,7,2016
9,5,2017
2,6,2018
8,6,2017
28,03,2019
28,07,2018
28,11,2017
28,01,2017
28,09,2017
28,10,2018
28,02,2019
28,08,2017
28,01,2019
28,04,2018
28,05,2018
28,12,2016
28,02,2017
28,09,2016
28,03,2018
28,05,2017
28,11,2016
28,12,2017
28,11,2018
28,06,2017
28,07,2017
28,12,2018
28,10,2017
28,10,2016
6,5,2018
1,6,2017
1,6,2019
9,7,2017
7,6,2017
7,7,2019
4,6,2017
2,7,2018
3,5,2018
11,5,2017
11,5,2018
8,5,2018
9,6,2016
5,5,2018
7,7,2018
10,7,2016
10,6,2017
4,6,2018
6,6,2017
9,3,2017
9,2,2018
3,4,2019
7,4,2017
5,2,2019
3,5,2018
8,3,2017
12,3,2018
4,5,2017
11,5,2016
4,6,2019
1,4,2019
6,4,2018
2,6,2017
9,6,2016
10,6,2018
5,6,2017
2,7,2019
12,7,2016
10,5,2016
6,5,2017
20,06,2017
20,04,2019
19,05,2017
19,08,2018
18,12,2017
20,02,2018
18,02,2017
7,5,2019
18,09,2018
19,10,2016
20,09,2016
20,12,2016
21,01,2017
19,01,2018
20,03,2019
8,7,2018
11,7,2017
2,6,2017
6,7,2019
7,7,2018
4,7,2019
9,6,2016
5,7,2017
3,6,2018
12,5,2016
2,5,2019
7,6,2017
3,6,2019
10,6,2017
11,7,2016
10,6,2016
6,5,2018
6,7,2017
2,5,2018
1,5,2017
27,11,2016
27,07,2018
27,04,2019
27,09,2016
27,02,2019
27,01,2019
27,03,2017
27,04,2018
27,12,2016
27,10,2016
27,10,2018
27,01,2018
27,02,2017
27,08,2018
27,02,2018
27,03,2019
27,10,2017
27,09,2017
27,01,2017
27,11,2017
27,12,2017
27,12,2018
27,09,2018
27,03,2018
21,11,2018
5,2,2017
5,2,2019
8,2,2018
11,2,2017
7,2,2018
8,1,2017
10,2,2016
3,1,2017
4,3,2018
6,3,2018
4,3,2017
1,3,2017
10,1,2017
2,2,2019
9,3,2017
12,2,2016
1,2,2018
27,04,2019
11,2,2016
12,1,2017
2,2,2017
5,2,2018
16,05,2018
15,10,2016
15,12,2017
14,08,2017
16,01,2019
16,05,2019
15,11,2017
14,03,2018
15,03,2017
16,04,2018
15,04,2017
15,07,2019
15,02,2017
15,06,2019
15,09,2016
15,11,2016
16,02,2019
16,07,2017
14,11,2018
14,12,2018
7,7,2019
26,01,2018
27,04,2018
25,12,2018
27,07,2017
27,02,2018
27,01,2017
27,10,2018
27,06,2017
27,11,2016
27,06,2019
27,10,2016
27,07,2019
27,05,2017
27,12,2016
27,03,2018
16,10,2018
17,06,2019
16,10,2016
15,05,2018
17,06,2017
16,11,2016
17,11,2017
17,12,2016
15,03,2017
16,09,2017
15,05,2019
15,07,2019
17,01,2017
17,08,2017
17,04,2019
16,09,2016
15,08,2018
15,10,2017
16,07,2017
17,02,2017
15,09,2018
2,1,2019
5,1,2017
2,1,2018
2,1,2017
9,1,2017
10,1,2018
1,1,2019
8,1,2017
11,1,2016
7,1,2019
12,1,2016
7,1,2017
10,1,2016
5,1,2018
12,1,2017
3,1,2017
8,1,2018
4,1,2017
6,1,2017
9,1,2016
10,1,2017
1,1,2018
5,1,2019
17,03,2017
17,01,2017
18,03,2019
18,09,2016
19,07,2017
18,08,2017
19,05,2018
19,12,2018
18,09,2018
18,11,2017
17,02,2018
17,10,2018
19,03,2018
19,02,2019
17,06,2019
18,08,2018
18,12,2016
18,01,2019
19,12,2017
17,02,2017
17,07,2019
17,09,2017
18,10,2017
19,01,2018
18,06,2017
17,11,2016
19,04,2018
21,01,2019
22,06,2018
22,11,2017
22,09,2017
23,06,2019
23,02,2017
24,02,2019
22,03,2017
22,04,2017
23,04,2019
22,09,2018
24,03,2019
22,06,2017
24,12,2018
22,01,2017
23,10,2017
21,09,2016
22,12,2016
20,11,2016
21,08,2017
27,05,2019
21,07,2017
21,05,2017
8,12,2018
13,07,2017
10,12,2018
13,01,2017
1,12,2019
7,12,2018
4,12,2017
13,04,2018
12,12,2018
4,12,2019
14,03,2019
14,12,2016
14,07,2019
14,02,2019
13,11,2016
14,09,2016
13,11,2018
15,10,2016
14,01,2018
13,09,2018
14,07,2017
2,9,2018
14,05,2019
14,06,2019
13,10,2018
15,04,2017
15,11,2017
16,10,2017
15,10,2016
16,01,2019
14,03,2017
4,10,2019
15,12,2016
14,09,2018
14,08,2018
16,12,2017
15,11,2016
15,09,2016
3,7,2017
7,7,2017
5,7,2018
6,7,2019
7,8,2018
1,6,2018
4,6,2019
11,8,2016
6,9,2017
2,9,2019
2,7,2017
12,8,2016
4,9,2018
10,9,2016
9,9,2016
1,8,2019
5,9,2019
3,9,2019
6,8,2018
16,09,2018
16,03,2018
16,02,2017
16,04,2019
16,05,2019
16,06,2017
16,09,2017
17,01,2017
18,01,2019
17,12,2018
17,11,2016
17,12,2016
17,09,2016
8,7,2018
6,6,2019
2,8,2018
4,8,2017
11,9,2018
1,9,2018
1,7,2017
12,6,2018
10,6,2017
3,7,2017
